"Location Name","number","lat","lon","Demographic information","Stem Morphology","NA","Fruit Morphology","NA.1","NA.2","NA.3","NA.4","Crown Morphology","NA.5","Breeding behaviors","germniation (%)"
"Kahala Wai'alae","5.0",21.2668033333333,-157.778886666667,"Kahala Wai'alae: Seed coconuts are collected from the property of Dr. Edward Weldon. On the property, there are three trees of the same variety in close proximity. This tree is about 50 ft tall and about 50 years of age. Thick and creamy kernels are detected. Seed nuts are collected by Chris, Mahi, Manulani & Indrajit.","Tall","Yes","Medium","Obovate","Brown","22.0","F","Medium","Spherical","Allogamy",NA
"Kahala Wai'alae","6.0",21.2668033333333,-157.778886666667,"Kahala Wai'alae: Seed coconuts are collected from the property of Dr. Edward Weldon. On the property, there are three trees of the same variety growing in close proximity. This tree is about 30 ft tall and about 40 years of age. Thick and creamy kernels are detected. Seed nuts are collected by Chris, Mahi, Manulani & Indrajit.","Tall","Yes","Medium","Obovate","Brown","22.0","F","Medium","Spherical","Allogamy","76.08695652"
"Kahala Wai'alae","7.0",21.2667666666667,-157.779021666667,"Kahala Wai'alae: From the property of Dr. Edward Weldon. Seed nuts are collected from a single tree. Fruits appeared to be both elliptic and obovate but most nuts are elliptic in shape. The tree is about 30 ft tall and aCircular 40 years of age. Seed nuts are collected by Christ, Mahi, Manulani & Indrajit.","Tall","No","Medium","Elliptic","Brown-orange","12.0","F","Large","Semi-spherical","Autogamy (D)","77.77777778"
"Kahala Wai'alae","8.0",21.2667666666667,-157.779021666667,"Kahala Wai'alae: From the property of Dr. Edward Weldon. Seed nuts are collected from a single tree. The tree is about 40 ft tall and aCircular 40 years of age. Seed nuts are collected by Christ, Mahi, Manulani & Indrajit.","Tall","No","Medium","Ovate","Orange-brown","6.0","F","Small","Semi-spherical","Autogamy (I)","75"
"Kahala Wai'alae","9.0",21.2667666666667,-157.779021666667,"Kahala Wai'alae: From the property of Dr. Edward Weldon. This was one of three trees in the area that had brown coconuts. Each of these trees has different characteristics. However, this tree in particular has the largest fruits among the trees in this area. The shells of the nuts appear very thin. Despite having a sufficient amount of husk surcircularing them, some of these shells cracked from the impact upon falling from the tree. The tree is about 40 ft tall and circular 30 years of age. Seed nuts are collected by Christ, Mahi, Manulani & Indrajit.","Tall","Yes","Large","Ovate","Green","8.0","F","Large","Spherical","Allogamy","76.47058824"
"Kahala Wai'alae","10.0",21.2671783333333,-157.779708333333,"Kahala Wai'alae: From the property of Dr. Edward Weldon's. Seed nuts are picked up from 2 trees of the same variety that are adjacent to each other. The trees are about 25 years of age, 8ft of height. The tree shape appeared to be compacted. Seed nuts are collected by Indrajit.","Compact Dwarf","No","Medium","Ovate","Green","6.0","F","Medium","Spherical","Autogamy (D)","61.53846154"
"Kahala Wai'alae","11.0",21.2671783333333,-157.779708333333,"Kahala Wai'alae: This tress is also located in the property of Dr. Edward Weldon's. Seed nuts are picked up from 2 trees of the same variety that are adjacent to each other. Both trees are about 25 years of age, 8ft of height. The tree shape is appeared to be compacted. Seed nuts are collected by Indrajit.","Compact Dwarf","No","Medium","Ovate","Green","8.0","F","Medium","Spherical","Autogamy (D)","66.66666667"
"Kaimuki-Pāhoa Ave","12.0",21.28,-157.801771666667,"Kaimuki-Pāhoa Ave: From the property of John Chang. This tree appeared to be an exceptionally compact variety of dwarf with very thick leaflets. We previously collected seeds nuts from this tree that were placed in WCCHC niu nursery. According to John, they brought this tree from a fair at ‘Iolani School nearly 10 years ago. The tree is about 2 ft tall and expresses the very features of a super compacted dwarf.  Seed nuts are collected by Manulani & Indrajit.","Compact Dwarf","Yes","Medium","Ovate","Green","8.0","M","Medium","Semi-spherical","Autogamy (I)","33.33333333"
"Kalauha‘iha‘i, Niu Valley-Maunalua Bay","13.0",21.28253,-157.731888333333,"Kalauha‘iha‘i, Niu Valley-Maunalua Bay: Seed coconuts are collected from 2 trees of the same variety next to each other in the same location. Each tree is about 60 ft tall and about 70 years of age. The property is managed by Chris Cramer and this particular coconut variety is mostly been seen in this area of Niu Valley. Seed nuts are collected by Chris & Indrajit.","Tall","Yes","Large","Obovate","Brown","10.0","F","Large","Spherical","Allogamy","73.58490566"
"Kalauha‘iha‘i, Niu Valley-Maunalua Bay","14.0",21.28253,-157.731888333333,"Kalauha‘iha‘i, Niu Valley-Maunalua Bay: Seed coconuts are collected from 2 trees of the same variety next to each other in the same location. Both tree are same age, each tree is about 60 ft tall and about 70 years of age. The property is managed by Chris Cramer and this particular coconut variety is mostly been seen in this area around Niu Valley. Seed nuts are collected by Chris & Indrajit.","Tall","Yes","Large","Obovate","Brown","10.0","F","Large","Spherical","Allogamy","73.58490566"
"Kalauha‘iha‘i, Niu Valley-Maunalua Bay","15.0",21.28253,-157.731888333333,"Kalauha‘iha‘i, Niu Valley-Maunalua Bay:  These 3 trees of the same variety is located in the property adjunction to the land managed by Chris Cramer. Seed nuts were collected from three different trees of the same variety in the same location and there were three other trees with brown and circulor nuts in the same location. Each tree is about 70 ft in height and about 70 to 80 years of age. The trees appeared to be large in the size, compared to other trees in this area. We also got to see the lumbers of those trees to be dark black as those three trees happened to be cut down and removed on the same day when we were picking up seed nuts. Seed nut is collected by Chris & Indrajit.","Tall","Yes","Large","Circular","Green","8.0","F","Large","Spherical","Autogamy (I)","59.18367347"
"Kalauha‘iha‘i, Niu Valley-Maunalua Bay","16.0",21.28253,-157.731888333333,"Kalauha‘iha‘i, Niu Valley-Maunalua Bay:  These 3 trees of the same variety is located in the property adjunction to the land managed by Chris Cramer. Seed nuts were collected from three different trees of the same variety in the same location and there were three other trees with brown and circulor nuts in the same location. Each tree is about 70 ft in height and about 70 to 80 years of age. The trees appeared to be large in the size, compared to other trees in this area. We also got to see the lumbers of those trees to be dark black as those three trees happened to be cut down and removed on the same day when we were picking up seed nuts. Seed nut is collected by Chris & Indrajit.","Tall","Yes","Large","Circular","Green","6.0","F","Large","Spherical","Autogamy (I)","59.18367347"
"Kalauha‘iha‘i, Niu Valley-Maunalua Bay","17.0",21.28253,-157.731888333333,"Kalauha‘iha‘i, Niu Valley-Maunalua Bay:  These 3 trees of the same variety is located in the property adjunction to the land managed by Chris Cramer. Seed nuts were collected from three different trees of the same variety in the same location and there were three other trees with brown and circulor nuts in the same location. Each tree is about 70 ft in height and about 70 to 80 years of age. The trees appeared to be large in the size, compared to other trees in this area. We also got to see the lumbers of those trees to be dark black as those three trees happened to be cut down and removed on the same day when we were picking up seed nuts. Seed nut is collected by Chris & Indrajit.","Tall","Yes","Large","Circular","Green","8.0","F","Large","Spherical","Autogamy (I)","59.18367347"
"Kalauha‘iha‘i, Niu Valley-Maunalua Bay","18.0",21.28253,-157.731888333333,"Kalauha‘iha‘i, Niu Valley-Maunalua Bay: From a property managed by Chris Cramer, seed nuts are collected from a single tree that is the age of about 20 years and about 25 ft of height. The coconuts appeared to be large in size, rich with cream, and pretty sweet water. This interesting variety I haven’t yet encountered this within Oahu but had seen this variety in Hana, Maui). Previously, we placed seven seed nuts from this tree at WCCHC niu nursery and all of seven seeds were germinated and those seedlings were gifted to Kahumana and Mouna Farms in Waianae. Seed nuts are collected by Indrajit and Chris.","Tall","Yes","Large","Elliptic","Green","7.0","F","Large","Spherical","Autogamy (I)","75"
"Waimanalo-Kulaiwi Street","19.0",21.3324116666667,-157.698853333333,"Waimanalo-Kulaiwi Street: A variety of large green coconuts and seed nuts were collected from a single tree, age of about 30 years, fruits appeared with the characteristic of sweet water, cream-rich milk, with thick meat. Two other compacted dwarf trees are also in adjunction with this tree. 
Seed nuts are collected by Manulani and Indrajit.","Tall","Yes","Large","Elliptic","Green","7.0","F","Large","Semi-spherical","Allogamy","40.74074074"
"Waimanalo-Kulaiwi & Olu'olu Street","20.0",21.3324116666667,-157.698853333333,"Waimanalo-Kulaiwi & Olu'olu Street: Seed coconuts are picked up from a single tree that is adjacent to the tree mentioned above (No 11) and the dwarf listed below (No 13). This tree is about 20 years of age, about 8 ft tall, and the shape appeared to be compacted. Seed nuts are collected by Manulani & Indrajit.","Compact Dwarf","Yes","Medium","Circular","Green","8.0","F","Large","Spherical","Autogamy (I)","40"
"Waimanalo-Kulaiwi & Olu'olu Street","21.0",21.2610333333333,-157.710463333333,"Waimanalo-Kulaiwi & Olu'olu Street: The seed coconuts are picked up from a single tree that is adjacent to the trees mentioned above (No 11 and No 12).  The tree is about 20 years of age and about 10ft in height, and the shape of the tree appeared to be compacted.  Seed nuts are collected by Manulani and Indrajit.","Compact Dwarf","Yes","Large","Obovate","Orange-red","10.0","F","Large","Spherical","Autogamy (I)","87.5"
"Laie Falls Trail","22.0",21.6464366666667,-157.936203333333,"Laie Falls Trail: Green Compacted draft, this variety has the characteristic of large soft husks and thick meat. The tree is about 20 years of age and about 15ft in height and located in close line with the threes listed on no 15 and no 16. This land is appeared to be naturally wetland, the area was uncirculated by a tree canopy but very few coconut trees. Seed nuts are collected by Angela, Manulani, and Indrajit.","Compacted Dwarf","No","Large","Obovate","Brown-green","8.0","M","Large","Semi-spherical","Allogamy","55.55555556"
"Laie Falls Trail","23.0",21.6464366666667,-157.936203333333,"Laie Falls Trail: Relatively large nuts, tree is approximately 20 ft tall and 25 years of age, and has light brown-green leaves. Seed nuts are collected by Angela, Manulani, & Indrajit..","Compact Dwarf","Yes","Large","Obovate","Orange-brown","8.0","F","Large","Semi-  Spherical","Autogamy (D)","100"
"Laie Falls Trail","24.0",21.6464366666667,-157.936203333333,"Laie Falls Trail: Green Compacted draft, fruit has large soft husks, thick meat, located in line with the trees no 14 and no15. Land is appeared to be naturally wet, area was surCirculared by other trees but very few niu. Seed nuts are collected by Angela, Manulani, & Indrajit.","Compact Dwarf","No","Medium","Circular","Green","14.0","F","Large","Spherical","Autogamy (I)","16.66666667"
"Kahuku","25.0",21.6822866666667,-157.949783333333,"Kahuku: Fruits are dark green, tree has thick and complected leaflets and this tree appeared to be supper connected, tree is about 20 ft tall and about 50 years of age. Seed nuts are collected by Angela, Manulani, & Indrajit.","Dwarf","Yes","Large","Elliptic","Green","12.0","F","Medium","Spherical","Autogamy (I)","66.66666667"
"Kalaeloa Barber’s Point Lighthouse","26.0",21.29695,-158.105713888889,"Kalaeloa Barber’s Point Lighthouse: This property is managed by Wainani Texeira & a team and the place is used by Germaine's Luau with a collection of nearly 100 palms including number of dwarf trees next to this tree and some tall trees are grown in this property. The place coordinator is been on the property for over 20 years and the seed nut was from a palm about 20 years of age and 15ft of height. No coconut mite or CRB associated issues are detected in this area.  Seed nuts are collected by Manulani, & Indrajit.","Dwarf","No","Medium","Obovate","Orange-green","8.0","M","Large","Semi-spherical","Allogamy","87.5"
"Kalaeloa Barber’s Point Lighthouse","27.0",21.29695,-158.105713888889,"Kalaeloa Barber’s Point Lighthouse: this property is managed by Wainani Texeira & a team. The place is used by Germaine's Luau with a collection of nearly 100 palms including a number of dwarfs and some tall trees are grown on this property. The place coordinator is been in the property for over 20 years and the seed nut was from 2 palms of the same variety next to each other. The threes are about 20 to 30 years of age and about 30 ft in height. No coconut mite or CRB-associated issues are detected in this area. Seed nuts are collected by Manulani, & Indrajit.","Tall","Yes","Large","Ovate","Orange-brown","14.0","F","Large","Spherical","Autogamy (I)","70.83333333"
"Kalaeloa Barber’s Point Lighthouse","28.0",21.29695,-158.105713888889,"Kalaeloa Barber’s Point Lighthouse: this property is managed by Wainani Texeira & a team. The place is used by Germaine's Luau with a collection of nearly 100 palms including number of dwarf and some tall trees are grown in this property. The place coordinator is been in the property for over 20 years and the seed nut was from 2 palms of the same variety next to each other. The threes are about 20 years of age and 30 ft of height. No coconut mite or CRB associated issues are detected in this area. Seed nuts are collected by Manulani, & Indrajit.","Tall","Yes","Large","Ovate","Orange-brown","12.0","F","Large","Spherical","Allogamy","70.83333333"
"Kalaeloa Barber’s Point Lighthouse","29.0",21.29695,-158.105713888889,"Kalaeloa Barber’s Point Lighthouse: From the same property is managed by Wainani Texeira & a team and the place is used by Germaine's Luau with a collection of nearly 100 palms including the number of dwarfs and some tall trees are grown in this property. The place coordinator is been on the property for over 20 years and the tree is about 30 years of age and about 35 ft of height. The seed nut was from a single tree that stands next to 3 otehr trees with orange-brown nuts. No coconut mite or CRB-associated issues are detected in this area. Seed nuts are collected by Manulani, & Indrajit.","Tall","Yes","Large","Ovate","Green-brown","10.0","M","Large","Spherical","Allogamy","88.88888889"
"Kalaeloa - Olai Street","30.0",21.2995083333333,-158.101805555556,"Kalaeloa - Olai Street: This tree is located next to five other tall green trees next to the road corner including the variety listed on no 22. Seed nuts are collected by Xekou and Indrajit.","Tall","No","Medium","Circular","Green","10.0","F","Large","Semi-  Spherical","Allogamy","65.625"
"Kalaeloa - Olai Street","31.0",21.2995083333333,-158.101805555556,"Kalaeloa - Olai Street: This tree is located next to five other tall green trees including the variety listed on no 21 next to the road corner. Seed nuts are collected by Xekou and Indrajit","Tall","No","Small","Obovate","Green","12.0","F","Large","Spherical","Allogamy","100"
"Makaha Beach","32.0",21.464295,-158.21367,"Makaha Beach: Summarizing surveys conducted on 27 islands of the Pacific region, Dr. Bourdeix and el revealed some of the traditional knowledge associated with the recognition and classification of coconut that linked to the shape of the distal part of the shape of the coconut husk. They reported that if the end of the husk is pointed with a small nipple to be classified the fruit to be male and protuberances terminate by a concavity the fruit will be called to be female. Out of every tree I have observed over a decade in Hawaii this one has the most female-like original characteristic according to the above description. This variety also has the sweetest water. Seed nuts are collected by Prem and Indrajit.","Compact Dwarf","No","Large","Elliptic","Brown-green","10.0","F","Medium","Spherical","Autogamy (I)","100"
"MA'O Farms","33.0",21.4515133333333,-158.157438888889,"MA'O Farms: The tree appeared to be uniquely V-shaped, long and oily fruits, even the outside husk appeared to be shiny. Seed coconuts are collected by Kaui, Prem, and Indrajit.","Tall","Yes","Medium","Ovate","Brown","7.0","M","Medium","V-Shape","Allogamy","75"
"MA'O Farms; This tree is more likely to be a hybrid between tall and dwarf type based on the appearance of the compact nature of the tree.","34.0",21.4512666666667,-158.157775,"MA'O Farms; This tree is more likely to be a hybrid between tall and dwarf type based on the appearance of the compact nature of the tree.","Tall","Yes","Large","Circular","Green","10.0","F","Large","Semi-spherical","Allogamy","56.25"
"MA'O Farms","35.0",21.4512666666667,-158.157775,"MA'O Farms: This trees produce some of the large fruits with high proportion of fluff that have seen in the area of the Waianae coast. The tree is located next to the MA’O’s main produce cleaning station close to the tree described on no 25.  Seed nuts are collected by Kaui, Prem, and Indrajit.","Tall","Yes","Large","Obovate","Brown","8.0","F","Large","Semi-spherical","Autogamy (I)","50"
